k,observed kmers,possible kmers
1,4,4
2,13,121
3,36,120
4,62,119
5,83,118
6,95,117
7,102,116
8,107,115
9,109,114
10,110,113
11,111,112
12,111,111
13,110,110
14,109,109
15,108,108
16,107,107
17,106,106
18,105,105
19,104,104
20,103,103
21,102,102
22,101,101
23,100,100
24,99,99
25,98,98
26,97,97
27,96,96
28,95,95
29,94,94
30,93,93
31,92,92
32,91,91
33,90,90
34,89,89
35,88,88
36,87,87
37,86,86
38,85,85
39,84,84
40,83,83
41,82,82
42,81,81
43,80,80
44,79,79
45,78,78
46,77,77
47,76,76
48,75,75
49,74,74
50,73,73
51,72,72
52,71,71
53,70,70
54,69,69
55,68,68
56,67,67
57,66,66
58,65,65
59,64,64
60,63,63
61,62,62
62,61,61
63,60,60
64,59,59
65,58,58
66,57,57
67,56,56
68,55,55
69,54,54
70,53,53
71,52,52
72,51,51
73,50,50
74,49,49
75,48,48
76,47,47
77,46,46
78,45,45
79,44,44
80,43,43
81,42,42
82,41,41
83,40,40
84,39,39
85,38,38
86,37,37
87,36,36
88,35,35
89,34,34
90,33,33
91,32,32
92,31,31
93,30,30
94,29,29
95,28,28
96,27,27
97,26,26
98,25,25
99,24,24
100,23,23
101,22,22
102,21,21
103,20,20
104,19,19
105,18,18
106,17,17
107,16,16
108,15,15
109,14,14
110,13,13
111,12,12
112,11,11
113,10,10
114,9,9
115,8,8
116,7,7
117,6,6
118,5,5
119,4,4
120,3,3
121,2,2
122,1,1
Total,7048,7385
